Variables,N (%),β,SE,Wald test,OR (95% CI),P Value,,,
  Age (years),768 (100%),0.05 ,0.01,22.04,"1.05 (1.03, 1.07)",<0.001,1.05 ,1.03 ,1.07 
CA125 (U/ml),,,,,,,,,
  ≤100,521 (68.5%),,,,1 (Ref.),,1.00 ,1.00 ,1.00 
  >100  ,240 (31.5%),2.60 ,0.33,61.73,"13.48 (7.15, 26.32)",<0.001,13.48 ,7.15 ,26.32 
HE4 (pmol/L),,,,,,,,,
  ≤64.5,491 (64.5%),,,,1 (Ref.),,1.00 ,1.00 ,1.00 
  >64.5,270 (35.5%),1.80 ,0.31,32.83,"6.07 (3.28, 11.30)",<0.001,6.07 ,3.28 ,11.30 
Solid areas,,,,,,,,,
  No,371 (48.8%),,,,1 (Ref.),,1.00 ,1.00 ,1.00 
  Yes,390 (51.2%),1.59 ,0.29,29.91,"4.91 (2.81, 8.83)",<0.001,4.91 ,2.81 ,8.83 
Strong blood flow signal,,,,,,,,,
  No,582 (76.5%),,,,1 (Ref.),,1.00 ,1.00 ,1.00 
  Yes,179 (23.5%),2.57 ,0.39,43.54,"13.00 (6.18, 28.47)",<0.001,13.00 ,6.18 ,28.47 
Intercept,,-6.00 ,,,,<0.001,,,
